firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
James,Garfield,31,21,0,3,269,2011-06-22,Huntington Beach Harriers,29,Augusta Autocrats,7
James,Garfield,28,19,0,3,212,2011-06-29,Huntington Beach Harriers,27,Grand Rapids Gamers,38
Sam,Grant,25,9,1,0,49,2011-03-23,Mobile Misfits,8,Boise Bearcats,16
Barry,Obama,1,0,0,0,0,2011-03-23,Mobile Misfits,8,Boise Bearcats,16
Sam,Grant,28,9,1,0,56,2011-03-30,Mobile Misfits,10,Modesto Misanthropes,13
Sam,Grant,27,10,1,0,63,2011-04-06,Mobile Misfits,12,Fremont Firebugs,6
Barry,Obama,8,5,0,1,83,2011-04-06,Mobile Misfits,12,Fremont Firebugs,6
Sam,Grant,36,12,1,0,77,2011-04-13,Mobile Misfits,9,Montgomery Music,30
Sam,Grant,15,6,1,0,37,2011-04-20,Mobile Misfits,16,Spokane Stallions,35
Barry,Obama,10,6,0,1,93,2011-04-20,Mobile Misfits,16,Spokane Stallions,35
Sam,Grant,27,11,1,0,58,2011-04-27,Mobile Misfits,14,Richmond Roustabouts,37
Barry,Obama,8,5,0,2,84,2011-04-27,Mobile Misfits,14,Richmond Roustabouts,37
Sam,Grant,29,8,1,0,51,2011-05-04,Mobile Misfits,3,Yonkers Yellowjackets,0
Sam,Grant,33,8,1,0,44,2011-05-11,Mobile Misfits,0,Shreveport Seamen,30
Sam,Grant,24,6,1,1,31,2011-05-18,Mobile Misfits,10,San Bernardino Stalkers,17
Sam,Grant,31,13,1,0,65,2011-05-25,Mobile Misfits,12,Tacoma Touchdown-Scorers,28
Sam,Grant,31,12,1,0,82,2011-06-01,Mobile Misfits,0,Glendale Centers,6
Sam,Grant,20,5,1,1,24,2011-06-08,Mobile Misfits,17,Des Moines Desperadoes,16
Barry,Obama,8,5,0,1,79,2011-06-08,Mobile Misfits,17,Des Moines Desperadoes,16
Sam,Grant,39,12,1,1,65,2011-06-15,Mobile Misfits,8,Augusta Autocrats,34
Sam,Grant,27,7,1,0,34,2011-06-22,Mobile Misfits,6,Grand Rapids Gamers,20
Barry,Obama,1,0,0,0,0,2011-06-22,Mobile Misfits,6,Grand Rapids Gamers,20
Sam,Grant,32,13,1,1,84,2011-06-29,Mobile Misfits,13,Huntington Beach Harriers,0
William,Harrison,37,31,0,6,445,2012-03-21,Boise Bearcats,44,Modesto Misanthropes,31
William,Harrison,38,31,0,7,539,2012-03-28,Boise Bearcats,55,Fremont Firebugs,13
William,Harrison,26,19,0,3,265,2012-04-04,Boise Bearcats,30,Montgomery Music,3
George,Bush,2,1,0,1,19,2012-04-04,Boise Bearcats,30,Montgomery Music,3
William,Harrison,39,33,0,10,638,2012-04-11,Boise Bearcats,73,Spokane Stallions,41
William,Harrison,30,23,0,6,421,2012-04-18,Boise Bearcats,49,Richmond Roustabouts,27
William,Harrison,33,23,0,5,367,2012-04-25,Boise Bearcats,37,Yonkers Yellowjackets,41
William,Harrison,25,18,0,4,274,2012-05-02,Boise Bearcats,51,Shreveport Seamen,34
George,Bush,9,7,0,2,124,2012-05-02,Boise Bearcats,51,Shreveport Seamen,34
William,Harrison,30,26,0,8,501,2012-05-09,Boise Bearcats,65,San Bernardino Stalkers,9
William,Harrison,36,29,0,7,438,2012-05-16,Boise Bearcats,60,Tacoma Touchdown-Scorers,38
William,Harrison,33,25,0,5,403,2012-05-23,Boise Bearcats,43,Glendale Centers,7
George,Bush,1,0,0,0,0,2012-05-23,Boise Bearcats,43,Glendale Centers,7
William,Harrison,30,23,0,6,453,2012-05-30,Boise Bearcats,57,Des Moines Desperadoes,14
George,Bush,7,5,0,1,83,2012-05-30,Boise Bearcats,57,Des Moines Desperadoes,14
William,Harrison,39,31,0,6,464,2012-06-06,Boise Bearcats,51,Augusta Autocrats,14
William,Harrison,28,19,0,5,290,2012-06-13,Boise Bearcats,58,Grand Rapids Gamers,7
George,Bush,9,7,0,2,108,2012-06-13,Boise Bearcats,58,Grand Rapids Gamers,7
William,Harrison,25,17,0,3,257,2012-06-20,Boise Bearcats,39,Huntington Beach Harriers,17
George,Bush,5,3,0,1,42,2012-06-20,Boise Bearcats,39,Huntington Beach Harriers,17
William,Harrison,33,24,0,6,437,2012-06-27,Boise Bearcats,51,Mobile Misfits,17
Dick,Nixon,38,22,0,4,307,2012-03-21,Modesto Misanthropes,35,Fremont Firebugs,23
Dick,Nixon,28,17,0,2,251,2012-03-28,Modesto Misanthropes,22,Montgomery Music,21
Ike,Eisenhower,3,1,1,1,5,2012-03-28,Modesto Misanthropes,22,Montgomery Music,21
Dick,Nixon,36,23,0,4,338,2012-04-04,Modesto Misanthropes,33,Spokane Stallions,23
Dick,Nixon,38,25,0,4,406,2012-04-11,Modesto Misanthropes,35,Richmond Roustabouts,34
Dick,Nixon,20,12,0,3,179,2012-04-18,Modesto Misanthropes,28,Yonkers Yellowjackets,27
Ike,Eisenhower,4,1,1,0,5,2012-04-18,Modesto Misanthropes,28,Yonkers Yellowjackets,27
Dick,Nixon,39,23,0,4,282,2012-04-25,Modesto Misanthropes,32,Shreveport Seamen,13
Dick,Nixon,31,23,0,3,293,2012-05-02,Modesto Misanthropes,22,San Bernardino Stalkers,0
Ike,Eisenhower,5,1,1,0,4,2012-05-02,Modesto Misanthropes,22,San Bernardino Stalkers,0
Dick,Nixon,25,15,0,2,181,2012-05-09,Modesto Misanthropes,20,Tacoma Touchdown-Scorers,13
Dick,Nixon,35,24,0,4,282,2012-05-16,Modesto Misanthropes,37,Glendale Centers,30
Dick,Nixon,26,20,0,3,247,2012-05-23,Modesto Misanthropes,31,Des Moines Desperadoes,20
Ike,Eisenhower,9,3,1,0,16,2012-05-23,Modesto Misanthropes,31,Des Moines Desperadoes,20
Dick,Nixon,30,20,0,3,302,2012-05-30,Modesto Misanthropes,27,Augusta Autocrats,7
Dick,Nixon,33,22,0,3,295,2012-06-06,Modesto Misanthropes,23,Grand Rapids Gamers,30
Dick,Nixon,27,20,0,3,304,2012-06-13,Modesto Misanthropes,27,Huntington Beach Harriers,35
Dick,Nixon,36,26,0,4,315,2012-06-20,Modesto Misanthropes,35,Mobile Misfits,21
Dick,Nixon,39,22,0,4,295,2012-06-27,Modesto Misanthropes,30,Boise Bearcats,14
Dubya,Bush,22,7,1,1,32,2012-03-21,Fremont Firebugs,21,Montgomery Music,37
Rutherford,Hayes,14,3,1,1,11,2012-03-21,Fremont Firebugs,21,Montgomery Music,37
Dubya,Bush,35,8,1,0,28,2012-03-28,Fremont Firebugs,3,Spokane Stallions,44
Rutherford,Hayes,1,0,1,0,0,2012-03-28,Fremont Firebugs,3,Spokane Stallions,44
Dubya,Bush,30,9,1,1,41,2012-04-04,Fremont Firebugs,11,Richmond Roustabouts,0
Dubya,Bush,24,6,1,1,24,2012-04-11,Fremont Firebugs,15,Yonkers Yellowjackets,14
Rutherford,Hayes,9,2,1,0,9,2012-04-11,Fremont Firebugs,15,Yonkers Yellowjackets,14
Dubya,Bush,26,5,1,1,24,2012-04-18,Fremont Firebugs,14,Shreveport Seamen,21
Dubya,Bush,29,8,1,0,33,2012-04-25,Fremont Firebugs,12,San Bernardino Stalkers,0
Dubya,Bush,29,8,1,1,38,2012-05-02,Fremont Firebugs,13,Tacoma Touchdown-Scorers,14
Dubya,Bush,26,8,1,1,30,2012-05-09,Fremont Firebugs,15,Glendale Centers,37
Rutherford,Hayes,10,2,1,0,9,2012-05-09,Fremont Firebugs,15,Glendale Centers,37
Dubya,Bush,23,6,1,1,27,2012-05-16,Fremont Firebugs,17,Des Moines Desperadoes,16
Rutherford,Hayes,10,2,1,0,9,2012-05-16,Fremont Firebugs,17,Des Moines Desperadoes,16
Dubya,Bush,31,9,1,0,44,2012-05-23,Fremont Firebugs,3,Augusta Autocrats,37
Dubya,Bush,33,12,1,0,48,2012-05-30,Fremont Firebugs,3,Grand Rapids Gamers,44
Dubya,Bush,32,7,1,0,29,2012-06-06,Fremont Firebugs,3,Huntington Beach Harriers,13
Dubya,Bush,35,8,1,1,36,2012-06-13,Fremont Firebugs,7,Mobile Misfits,9
Rutherford,Hayes,1,0,1,0,0,2012-06-13,Fremont Firebugs,7,Mobile Misfits,9
Dubya,Bush,26,7,1,0,25,2012-06-20,Fremont Firebugs,1,Boise Bearcats,41
Dubya,Bush,28,9,1,1,41,2012-06-27,Fremont Firebugs,11,Modesto Misanthropes,35
Millard,Fillmore,31,22,0,4,351,2012-03-21,Montgomery Music,41,Spokane Stallions,0
James,Madison,3,2,0,1,29,2012-03-21,Montgomery Music,41,Spokane Stallions,0
Millard,Fillmore,33,22,0,5,359,2012-03-28,Montgomery Music,39,Richmond Roustabouts,35
Millard,Fillmore,26,20,0,5,356,2012-04-04,Montgomery Music,46,Yonkers Yellowjackets,14
James,Madison,12,9,0,1,124,2012-04-04,Montgomery Music,46,Yonkers Yellowjackets,14
Millard,Fillmore,33,24,0,5,405,2012-04-11,Montgomery Music,42,Shreveport Seamen,30
Millard,Fillmore,30,23,0,5,319,2012-04-18,Montgomery Music,45,San Bernardino Stalkers,44
Millard,Fillmore,38,26,0,4,364,2012-04-25,Montgomery Music,35,Tacoma Touchdown-Scorers,28
Millard,Fillmore,24,17,0,4,250,2012-05-02,Montgomery Music,29,Glendale Centers,27
James,Madison,1,0,0,0,0,2012-05-02,Montgomery Music,29,Glendale Centers,27
Millard,Fillmore,25,19,0,3,283,2012-05-09,Montgomery Music,32,Des Moines Desperadoes,7
Millard,Fillmore,26,21,0,4,354,2012-05-16,Montgomery Music,36,Augusta Autocrats,9
Millard,Fillmore,37,27,0,6,452,2012-05-23,Montgomery Music,45,Grand Rapids Gamers,27
Millard,Fillmore,37,29,0,6,436,2012-05-30,Montgomery Music,50,Huntington Beach Harriers,20
Millard,Fillmore,32,27,0,6,418,2012-06-06,Montgomery Music,53,Mobile Misfits,24
Millard,Fillmore,32,22,0,4,301,2012-06-13,Montgomery Music,30,Boise Bearcats,31
James,Madison,4,2,0,0,31,2012-06-13,Montgomery Music,30,Boise Bearcats,31
Millard,Fillmore,37,26,0,6,389,2012-06-20,Montgomery Music,47,Modesto Misanthropes,23
Millard,Fillmore,27,19,0,4,258,2012-06-27,Montgomery Music,29,Fremont Firebugs,0
Gerry,Ford,26,9,1,1,73,2012-03-21,Spokane Stallions,12,Richmond Roustabouts,31
Bill,Clinton,7,3,0,0,23,2012-03-21,Spokane Stallions,12,Richmond Roustabouts,31
Gerry,Ford,24,9,1,0,77,2012-03-28,Spokane Stallions,18,Yonkers Yellowjackets,23
Bill,Clinton,12,6,0,1,62,2012-03-28,Spokane Stallions,18,Yonkers Yellowjackets,23
Gerry,Ford,27,11,1,0,76,2012-04-04,Spokane Stallions,0,Shreveport Seamen,44
Gerry,Ford,26,13,1,1,87,2012-04-11,Spokane Stallions,24,San Bernardino Stalkers,41
Bill,Clinton,10,4,0,1,40,2012-04-11,Spokane Stallions,24,San Bernardino Stalkers,41
Gerry,Ford,26,11,1,1,90,2012-04-18,Spokane Stallions,13,Tacoma Touchdown-Scorers,7
Gerry,Ford,39,16,1,1,127,2012-04-25,Spokane Stallions,12,Glendale Centers,21
Gerry,Ford,27,13,1,1,91,2012-05-02,Spokane Stallions,9,Des Moines Desperadoes,9
Bill,Clinton,4,1,0,0,10,2012-05-02,Spokane Stallions,9,Des Moines Desperadoes,9
Gerry,Ford,30,14,1,0,108,2012-05-09,Spokane Stallions,3,Augusta Autocrats,21
Bill,Clinton,1,0,0,0,0,2012-05-09,Spokane Stallions,3,Augusta Autocrats,21
Gerry,Ford,32,11,1,0,78,2012-05-16,Spokane Stallions,3,Grand Rapids Gamers,21
Gerry,Ford,20,7,1,1,61,2012-05-23,Spokane Stallions,12,Huntington Beach Harriers,24
Bill,Clinton,11,4,0,0,41,2012-05-23,Spokane Stallions,12,Huntington Beach Harriers,24
Gerry,Ford,16,6,1,0,50,2012-05-30,Spokane Stallions,3,Mobile Misfits,28
Bill,Clinton,9,4,0,0,36,2012-05-30,Spokane Stallions,3,Mobile Misfits,28
Gerry,Ford,30,10,1,0,88,2012-06-06,Spokane Stallions,6,Boise Bearcats,30
Bill,Clinton,5,2,0,0,17,2012-06-06,Spokane Stallions,6,Boise Bearcats,30
Gerry,Ford,30,15,1,0,95,2012-06-13,Spokane Stallions,3,Modesto Misanthropes,3
Gerry,Ford,25,12,1,1,99,2012-06-20,Spokane Stallions,12,Fremont Firebugs,0
Gerry,Ford,34,12,1,0,93,2012-06-27,Spokane Stallions,11,Montgomery Music,35
Abe,Lincoln,34,28,0,6,457,2012-03-21,Richmond Roustabouts,45,Yonkers Yellowjackets,37
Abe,Lincoln,34,29,0,5,414,2012-03-28,Richmond Roustabouts,47,Shreveport Seamen,23
Abe,Lincoln,30,24,0,6,372,2012-04-04,Richmond Roustabouts,59,San Bernardino Stalkers,24
Jack,Kennedy,4,1,1,1,5,2012-04-04,Richmond Roustabouts,59,San Bernardino Stalkers,24
Abe,Lincoln,30,25,0,6,400,2012-04-11,Richmond Roustabouts,47,Tacoma Touchdown-Scorers,14
Abe,Lincoln,27,23,0,6,427,2012-04-18,Richmond Roustabouts,59,Glendale Centers,27
Jack,Kennedy,3,1,1,1,5,2012-04-18,Richmond Roustabouts,59,Glendale Centers,27
Abe,Lincoln,21,15,0,4,279,2012-04-25,Richmond Roustabouts,32,Des Moines Desperadoes,35
Jack,Kennedy,11,4,1,0,21,2012-04-25,Richmond Roustabouts,32,Des Moines Desperadoes,35
Abe,Lincoln,37,29,0,6,479,2012-05-02,Richmond Roustabouts,47,Augusta Autocrats,24
Abe,Lincoln,21,14,0,3,244,2012-05-09,Richmond Roustabouts,32,Grand Rapids Gamers,30
Jack,Kennedy,8,2,1,1,10,2012-05-09,Richmond Roustabouts,32,Grand Rapids Gamers,30
Abe,Lincoln,35,25,0,7,459,2012-05-16,Richmond Roustabouts,52,Huntington Beach Harriers,17
Abe,Lincoln,24,21,0,5,319,2012-05-23,Richmond Roustabouts,47,Mobile Misfits,21
Jack,Kennedy,14,5,1,1,29,2012-05-23,Richmond Roustabouts,47,Mobile Misfits,21
Abe,Lincoln,30,22,0,5,360,2012-05-30,Richmond Roustabouts,40,Boise Bearcats,7
Jack,Kennedy,2,0,1,0,0,2012-05-30,Richmond Roustabouts,40,Boise Bearcats,7
Abe,Lincoln,33,26,0,7,463,2012-06-06,Richmond Roustabouts,49,Modesto Misanthropes,30
Jack,Kennedy,5,1,1,0,5,2012-06-06,Richmond Roustabouts,49,Modesto Misanthropes,30
Abe,Lincoln,16,13,0,2,196,2012-06-13,Richmond Roustabouts,19,Fremont Firebugs,6
Jack,Kennedy,9,3,1,0,17,2012-06-13,Richmond Roustabouts,19,Fremont Firebugs,6
Abe,Lincoln,25,21,0,5,346,2012-06-20,Richmond Roustabouts,39,Montgomery Music,6
Jack,Kennedy,1,0,1,0,0,2012-06-20,Richmond Roustabouts,39,Montgomery Music,6
Abe,Lincoln,20,15,0,3,264,2012-06-27,Richmond Roustabouts,33,Spokane Stallions,27
Jack,Kennedy,7,2,1,0,12,2012-06-27,Richmond Roustabouts,33,Spokane Stallions,27
Lyndon,Johnson,29,24,0,5,420,2012-03-21,Yonkers Yellowjackets,36,Shreveport Seamen,34
Lyndon,Johnson,29,24,0,5,341,2012-03-28,Yonkers Yellowjackets,40,San Bernardino Stalkers,41
Lyndon,Johnson,27,19,0,4,349,2012-04-04,Yonkers Yellowjackets,31,Tacoma Touchdown-Scorers,37
Lyndon,Johnson,37,28,0,6,437,2012-04-11,Yonkers Yellowjackets,50,Glendale Centers,41
Lyndon,Johnson,30,21,0,5,320,2012-04-18,Yonkers Yellowjackets,46,Des Moines Desperadoes,3
Lyndon,Johnson,19,14,0,4,243,2012-04-25,Yonkers Yellowjackets,31,Augusta Autocrats,41
Herbert,Hoover,12,7,0,0,75,2012-04-25,Yonkers Yellowjackets,31,Augusta Autocrats,41
Lyndon,Johnson,31,21,0,5,297,2012-05-02,Yonkers Yellowjackets,47,Grand Rapids Gamers,20
Lyndon,Johnson,18,14,0,3,196,2012-05-09,Yonkers Yellowjackets,31,Huntington Beach Harriers,38
Herbert,Hoover,7,4,0,0,43,2012-05-09,Yonkers Yellowjackets,31,Huntington Beach Harriers,38
Lyndon,Johnson,38,28,0,6,489,2012-05-16,Yonkers Yellowjackets,51,Mobile Misfits,35
Lyndon,Johnson,25,19,0,5,309,2012-05-23,Yonkers Yellowjackets,43,Boise Bearcats,44
Herbert,Hoover,5,2,0,1,24,2012-05-23,Yonkers Yellowjackets,43,Boise Bearcats,44
Lyndon,Johnson,27,19,0,5,301,2012-05-30,Yonkers Yellowjackets,43,Modesto Misanthropes,7
Lyndon,Johnson,33,27,0,6,471,2012-06-06,Yonkers Yellowjackets,54,Fremont Firebugs,31
Herbert,Hoover,5,2,0,1,18,2012-06-06,Yonkers Yellowjackets,54,Fremont Firebugs,31
Lyndon,Johnson,34,24,0,5,415,2012-06-13,Yonkers Yellowjackets,37,Montgomery Music,3
Lyndon,Johnson,27,20,0,5,315,2012-06-20,Yonkers Yellowjackets,45,Spokane Stallions,35
Lyndon,Johnson,34,27,0,7,496,2012-06-27,Yonkers Yellowjackets,55,Richmond Roustabouts,34
Cal,Coolidge,35,8,1,1,46,2012-03-21,Shreveport Seamen,14,San Bernardino Stalkers,13
Cal,Coolidge,28,10,1,0,55,2012-03-28,Shreveport Seamen,11,Tacoma Touchdown-Scorers,37
Cal,Coolidge,35,15,1,1,86,2012-04-04,Shreveport Seamen,9,Glendale Centers,10
Cal,Coolidge,25,10,1,1,57,2012-04-11,Shreveport Seamen,23,Des Moines Desperadoes,34
Jim,Buchanan,10,6,0,1,97,2012-04-11,Shreveport Seamen,23,Des Moines Desperadoes,34
Cal,Coolidge,18,7,1,1,40,2012-04-18,Shreveport Seamen,21,Augusta Autocrats,10
Jim,Buchanan,6,3,0,1,46,2012-04-18,Shreveport Seamen,21,Augusta Autocrats,10
Cal,Coolidge,26,6,1,0,32,2012-04-25,Shreveport Seamen,13,Grand Rapids Gamers,9
Jim,Buchanan,8,4,0,1,47,2012-04-25,Shreveport Seamen,13,Grand Rapids Gamers,9
Cal,Coolidge,25,9,1,0,49,2012-05-02,Shreveport Seamen,12,Huntington Beach Harriers,7
Cal,Coolidge,25,6,1,0,36,2012-05-09,Shreveport Seamen,18,Mobile Misfits,0
Jim,Buchanan,10,6,0,1,69,2012-05-09,Shreveport Seamen,18,Mobile Misfits,0
Cal,Coolidge,26,7,1,0,48,2012-05-16,Shreveport Seamen,11,Boise Bearcats,28
Cal,Coolidge,33,14,1,0,79,2012-05-23,Shreveport Seamen,3,Modesto Misanthropes,37
Cal,Coolidge,33,13,1,0,83,2012-05-30,Shreveport Seamen,2,Fremont Firebugs,38
Jim,Buchanan,1,0,0,0,0,2012-05-30,Shreveport Seamen,2,Fremont Firebugs,38
Cal,Coolidge,27,10,1,0,53,2012-06-06,Shreveport Seamen,2,Montgomery Music,37
Cal,Coolidge,34,10,1,0,59,2012-06-13,Shreveport Seamen,6,Spokane Stallions,9
Cal,Coolidge,36,13,1,0,71,2012-06-20,Shreveport Seamen,1,Richmond Roustabouts,44
Cal,Coolidge,35,13,1,0,77,2012-06-27,Shreveport Seamen,3,Yonkers Yellowjackets,7
Franklin,Roosevelt,29,22,0,5,415,2012-03-21,San Bernardino Stalkers,42,Tacoma Touchdown-Scorers,35
Franklin,Roosevelt,34,28,0,7,438,2012-03-28,San Bernardino Stalkers,60,Glendale Centers,3
Franklin,Roosevelt,39,31,0,7,546,2012-04-04,San Bernardino Stalkers,55,Des Moines Desperadoes,23
Franklin,Roosevelt,32,27,0,6,487,2012-04-11,San Bernardino Stalkers,50,Augusta Autocrats,3
Franklin,Roosevelt,17,11,0,3,199,2012-04-18,San Bernardino Stalkers,28,Grand Rapids Gamers,38
William,McKinley,9,3,1,0,14,2012-04-18,San Bernardino Stalkers,28,Grand Rapids Gamers,38
Franklin,Roosevelt,34,24,0,7,459,2012-04-25,San Bernardino Stalkers,57,Huntington Beach Harriers,38
Franklin,Roosevelt,28,20,0,4,325,2012-05-02,San Bernardino Stalkers,38,Mobile Misfits,17
William,McKinley,1,0,1,0,0,2012-05-02,San Bernardino Stalkers,38,Mobile Misfits,17
Franklin,Roosevelt,38,28,0,6,400,2012-05-09,San Bernardino Stalkers,53,Boise Bearcats,10
Franklin,Roosevelt,29,24,0,5,345,2012-05-16,San Bernardino Stalkers,37,Modesto Misanthropes,9
Franklin,Roosevelt,27,20,0,5,383,2012-05-23,San Bernardino Stalkers,39,Fremont Firebugs,34
Franklin,Roosevelt,29,24,0,6,422,2012-05-30,San Bernardino Stalkers,44,Montgomery Music,23
Franklin,Roosevelt,30,22,0,5,332,2012-06-06,San Bernardino Stalkers,48,Spokane Stallions,41
William,McKinley,5,1,1,1,5,2012-06-06,San Bernardino Stalkers,48,Spokane Stallions,41
Franklin,Roosevelt,31,24,0,4,346,2012-06-13,San Bernardino Stalkers,33,Richmond Roustabouts,24
Franklin,Roosevelt,28,20,0,4,330,2012-06-20,San Bernardino Stalkers,36,Yonkers Yellowjackets,0
William,McKinley,4,1,1,0,6,2012-06-20,San Bernardino Stalkers,36,Yonkers Yellowjackets,0
Franklin,Roosevelt,33,25,0,5,398,2012-06-27,San Bernardino Stalkers,35,Shreveport Seamen,24
Tom,Jefferson,26,14,0,2,156,2012-03-21,Tacoma Touchdown-Scorers,24,Glendale Centers,28
Harry,Truman,6,1,1,0,5,2012-03-21,Tacoma Touchdown-Scorers,24,Glendale Centers,28
Tom,Jefferson,16,8,0,1,70,2012-03-28,Tacoma Touchdown-Scorers,15,Des Moines Desperadoes,30
Harry,Truman,9,2,1,1,14,2012-03-28,Tacoma Touchdown-Scorers,15,Des Moines Desperadoes,30
Tom,Jefferson,22,11,0,0,115,2012-04-04,Tacoma Touchdown-Scorers,7,Augusta Autocrats,35
Harry,Truman,11,3,1,0,22,2012-04-04,Tacoma Touchdown-Scorers,7,Augusta Autocrats,35
Tom,Jefferson,22,8,0,1,65,2012-04-11,Tacoma Touchdown-Scorers,19,Grand Rapids Gamers,41
Harry,Truman,11,4,1,1,23,2012-04-11,Tacoma Touchdown-Scorers,19,Grand Rapids Gamers,41
Tom,Jefferson,27,11,0,1,89,2012-04-18,Tacoma Touchdown-Scorers,19,Huntington Beach Harriers,41
Tom,Jefferson,15,6,0,0,55,2012-04-25,Tacoma Touchdown-Scorers,17,Mobile Misfits,10
Harry,Truman,9,3,1,1,18,2012-04-25,Tacoma Touchdown-Scorers,17,Mobile Misfits,10
Tom,Jefferson,26,11,0,0,102,2012-05-02,Tacoma Touchdown-Scorers,11,Boise Bearcats,21
Harry,Truman,5,1,1,0,5,2012-05-02,Tacoma Touchdown-Scorers,11,Boise Bearcats,21
Tom,Jefferson,31,17,0,1,172,2012-05-09,Tacoma Touchdown-Scorers,13,Modesto Misanthropes,6
Tom,Jefferson,21,9,0,1,83,2012-05-16,Tacoma Touchdown-Scorers,10,Fremont Firebugs,20
Harry,Truman,3,0,1,0,0,2012-05-16,Tacoma Touchdown-Scorers,10,Fremont Firebugs,20
Tom,Jefferson,30,15,0,1,120,2012-05-23,Tacoma Touchdown-Scorers,16,Montgomery Music,37
Tom,Jefferson,29,16,0,2,160,2012-05-30,Tacoma Touchdown-Scorers,24,Spokane Stallions,27
Tom,Jefferson,33,16,0,2,126,2012-06-06,Tacoma Touchdown-Scorers,16,Richmond Roustabouts,44
Tom,Jefferson,27,14,0,0,110,2012-06-13,Tacoma Touchdown-Scorers,8,Yonkers Yellowjackets,37
Tom,Jefferson,22,11,0,0,93,2012-06-20,Tacoma Touchdown-Scorers,10,Shreveport Seamen,0
Harry,Truman,10,3,1,1,22,2012-06-20,Tacoma Touchdown-Scorers,10,Shreveport Seamen,0
Tom,Jefferson,39,16,0,2,169,2012-06-27,Tacoma Touchdown-Scorers,17,San Bernardino Stalkers,20
Big Bill,Taft,25,9,1,1,48,2012-03-21,Glendale Centers,11,Des Moines Desperadoes,37
Big Bill,Taft,28,5,1,1,24,2012-03-28,Glendale Centers,9,Augusta Autocrats,31
John,Tyler,1,0,1,0,0,2012-03-28,Glendale Centers,9,Augusta Autocrats,31
Big Bill,Taft,36,8,1,0,39,2012-04-04,Glendale Centers,0,Grand Rapids Gamers,16
Big Bill,Taft,18,5,1,1,24,2012-04-11,Glendale Centers,16,Huntington Beach Harriers,14
John,Tyler,8,2,1,1,14,2012-04-11,Glendale Centers,16,Huntington Beach Harriers,14
Big Bill,Taft,32,10,1,1,47,2012-04-18,Glendale Centers,13,Mobile Misfits,30
Big Bill,Taft,34,7,1,1,37,2012-04-25,Glendale Centers,19,Boise Bearcats,27
Big Bill,Taft,25,9,1,0,35,2012-05-02,Glendale Centers,6,Modesto Misanthropes,9
John,Tyler,4,1,1,0,7,2012-05-02,Glendale Centers,6,Modesto Misanthropes,9
Big Bill,Taft,37,10,1,1,41,2012-05-09,Glendale Centers,19,Fremont Firebugs,41
Big Bill,Taft,17,5,1,1,20,2012-05-16,Glendale Centers,19,Montgomery Music,31
John,Tyler,10,3,1,1,17,2012-05-16,Glendale Centers,19,Montgomery Music,31
Big Bill,Taft,38,7,1,1,29,2012-05-23,Glendale Centers,11,Spokane Stallions,7
Big Bill,Taft,33,7,1,0,34,2012-05-30,Glendale Centers,10,Richmond Roustabouts,31
Big Bill,Taft,27,8,1,1,37,2012-06-06,Glendale Centers,14,Yonkers Yellowjackets,35
Big Bill,Taft,25,8,1,1,30,2012-06-13,Glendale Centers,21,Shreveport Seamen,21
John,Tyler,6,2,1,1,13,2012-06-13,Glendale Centers,21,Shreveport Seamen,21
Big Bill,Taft,26,5,1,1,22,2012-06-20,Glendale Centers,20,San Bernardino Stalkers,9
John,Tyler,3,1,1,1,5,2012-06-20,Glendale Centers,20,San Bernardino Stalkers,9
Big Bill,Taft,30,6,1,1,30,2012-06-27,Glendale Centers,14,Tacoma Touchdown-Scorers,28
Chet,Arthur,38,18,0,0,131,2012-03-21,Des Moines Desperadoes,3,Augusta Autocrats,24
Chet,Arthur,38,19,0,1,162,2012-03-28,Des Moines Desperadoes,11,Grand Rapids Gamers,3
Chet,Arthur,18,8,0,1,64,2012-04-04,Des Moines Desperadoes,7,Huntington Beach Harriers,7
Andy,Jackson,9,5,0,0,72,2012-04-04,Des Moines Desperadoes,7,Huntington Beach Harriers,7
Chet,Arthur,22,9,0,1,92,2012-04-11,Des Moines Desperadoes,15,Mobile Misfits,23
Andy,Jackson,14,8,0,1,120,2012-04-11,Des Moines Desperadoes,15,Mobile Misfits,23
Chet,Arthur,38,15,0,1,143,2012-04-18,Des Moines Desperadoes,14,Boise Bearcats,9
Chet,Arthur,18,6,0,1,60,2012-04-25,Des Moines Desperadoes,16,Modesto Misanthropes,35
Andy,Jackson,9,5,0,0,58,2012-04-25,Des Moines Desperadoes,16,Modesto Misanthropes,35
Chet,Arthur,36,17,0,2,150,2012-05-02,Des Moines Desperadoes,21,Fremont Firebugs,14
Andy,Jackson,1,0,0,0,0,2012-05-02,Des Moines Desperadoes,21,Fremont Firebugs,14
Chet,Arthur,32,15,0,0,122,2012-05-09,Des Moines Desperadoes,10,Montgomery Music,9
Chet,Arthur,27,13,0,0,107,2012-05-16,Des Moines Desperadoes,11,Spokane Stallions,44
Chet,Arthur,25,11,0,0,104,2012-05-23,Des Moines Desperadoes,11,Richmond Roustabouts,34
Andy,Jackson,3,2,0,1,27,2012-05-23,Des Moines Desperadoes,11,Richmond Roustabouts,34
Chet,Arthur,33,13,0,1,125,2012-05-30,Des Moines Desperadoes,9,Yonkers Yellowjackets,9
Chet,Arthur,38,17,0,1,143,2012-06-06,Des Moines Desperadoes,18,Shreveport Seamen,14
